# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS0018.BIN	F0	0	7	1FD0	There's no one here...\n	There's no one here...\n	
m/MS0018.BIN	F0	1	38	1FD0	The elevator is broken...\n<wait>	The elevator is broken...\n<wait>	
m/MS0018.BIN	F0	2	85	1FD0	The interior of the shelter has been utterly ravaged.\n<wait>The raging hellfire has melted even the metal walls,\nmaking it clear that this shelter has been attacked by demons.\n<wait>	The interior of the shelter has been utterly ravaged.\n<wait>The raging hellfire has melted even the metal walls,\nmaking it clear that this shelter has been attacked by demons.\n<wait>	
m/MS0018.BIN	F0	3	265	1FBA	It is in that moment that a person with wings appears before you.\n<wait>	It is in that moment that a person with wings appears before you.\n<wait>	
m/MS0018.BIN	F0	4	366	1FD2	Phanuel:	Phanuel:	
m/MS0018.BIN	F0	5	376	1FD3	Son of man. I am angel Phanuel.\n<wait>	Son of man. I am angel Phanuel.\n<wait>	
m/MS0018.BIN	F0	6	414	1FBA	{0B}ｹ		suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS0018.BIN	F0	7	439	1FD2	Phanuel:	Phanuel:	
m/MS0018.BIN	F0	8	449	1FD3	Ooh...\n<wait>First, allow me to heal your wounds.\n<wait>	Ooh...\n<wait>First, allow me to heal your wounds.\n<wait>	
m/MS0018.BIN	F0	9	533	1FD2	Phanuel:	Phanuel:	
m/MS0018.BIN	F0	10	543	1FD3	This shelter has been brought to the verge of destruction\nby the demon Aym.\n<wait>	This shelter has been brought to the verge of destruction\nby the demon Aym.\n<wait>	
m/MS0018.BIN	F0	11	627	1FD2	Phanuel:	Phanuel:	
m/MS0018.BIN	F0	12	637	1FD3	Unlike my brothers, I simply couldn't turn a blind eye to the suffering\nof these people, which is why I have arrived to safeguard them.\n<wait>	Unlike my brothers, I simply couldn't turn a blind eye to the suffering\nof these people, which is why I have arrived to safeguard them.\n<wait>	
m/MS0018.BIN	F0	13	781	1FD2	Phanuel:	Phanuel:	
m/MS0018.BIN	F0	14	791	1FD3	However... <wait>Aym is strong. Too strong.\nI am afraid that I will not be able to protect this shelter alone.\n<wait>	However... <wait>Aym is strong. Too strong.\nI am afraid that I will not be able to protect this shelter alone.\n<wait>	
